Name,RA (1950),Dec m_Zw,V_h,sig sour,Ty,D1,D2,BT   UGC,CfARFN,Comments
16250+1412,162502.5,14122115.4,14938,3312700,,,,,T16440,
16251+2145,162510.5,21454115.5,10442,2912700,,,,,T11379,
N6149,162512.1,19422814.8,2391,3112700,-2,1.1,0.8,10391,T24216,
16253+4122,162512.8,41215315.2,8600,3312731,,,,,T08439,"A2197, 8542 (1140)"
16252+2143,162515.4,21431915,9206,2912700,,,,,T11380,
16254+3938,162520.5,39381715.3,10139,2512731,,,,,T14398,"A2199-RS38, 10106 (1140)"
16253+7019,162521.8,70181515.5,9769,2612700,1X,1.3,1,10395,270595,
16254+1333,162522.7,13332815.3,8482,4212700,,,,,T16589,
16255+2955,162528.3,29535615.4,12939,3112736,0  R,,,,T09499,
16256+5141,162536.7,51395914.7,6185,15010505,3,1.2,0.7,10396,,"Zw276-019,VV472"
16256+3913,162538.2,39131314.8,9918,3912731,,,,,T08426,A2199-RS43
16256+4938,162539.9,49384614.7,14248,3912700,,,,,T16770,MK1497
16258+3858,162544.3,38584615.5,8266,3712731,,,,,T08469,"A2199-RS45, 8384 (1140)"
N6159,162548.1,42472315.2,9380,3312700,-3,1.1,1,10397,T08517,Sy2
N6158,162557.6,39293515.5,8963,712324,,,,,,*A2199-RS52
16260+0838,162557.8,8382415.5,9675,311-1,,,,,,
16260+3831,162600.1,38310015.4,10038,1051 0,,,,,,IZw152
16260+4245,162600.5,42445315.5,9385,3312700,,,,,T08518,
N6160,162600.7,41021214.8,9408,771 0,-5,1.8,1.5,10400,,*
16260+3615,162602.5,36155315.5,9483,3512700,2,,,,T08554,
16263+5447,162621.2,54480315.3,9246,1812700,,,,,300495,
16264+1032,162626,10321115.3,5328,3312700,,,,,T16595,
N6162,162628.3,32573015.2,11177,3012748,-1,1,0.8,14.5110403,T06822,HCG82A
16265+3956,162629.1,39555315.5,8071,2911539,3A,1.5,1.1,10404,T08519,"A2199-RS70,B3-1626+399, 8118 (1140)"
16265+4025,162632.5,40252315.5,9895,2512731,,,,,T14560,"A2199-RS74, 9080 (1140)"
N6163,162634.1,32580015.4,10447,3712748,-2B,0.4,0.3,15.18,T06840,HCG82B
16266+3855,162635.6,38551515.1,9288,3612731,,,,,T08441,"A2199-RS72, 9318 (1140)"
16266+2136,162637.6,21361115.3,10885,2612700,,,,,T11399,
16266+1800,162640.3,18000015.2,10879,912212,4A,1.7,1.3,10405,,
16267+2535,162641.5,25361115.4,12051,341-1,,,,,,
16267+0812,162643.3,8115415.5,8932,3612700,,,,,T26377,
16267+0814,162644.1,8143315.3,9416,3412779,,,,,T26378,
16267+6246,162644.9,62461115.5,9450,6011822,,,,,,KDG498A
N6176,162647.3,59402114.8,9335,2612700,,,,,240695,
16268+4120,162648.2,41193814.3,8446,1012210,5:00 PM,0.55,0.45,10407,T05415,"AK504,A2197"
16268+5230,162653,52293315.5,9061,2112779,,,,,50495,
N6166,162655.7,39393913.9,9293,2012760,-4  P,2.2,1.7,13.0510409,T00389,"*A2199-RS89,3CR338"
A1626+4014,162657.7,40135515.3,7705,3092731,,,,,,A2199-RS92
